Project,ID,File/Section,Context,Text,Interpreted Constraint,Operands,Enforcing Statement,Enforcing Statement CIP,Constraint Type,Data Set
apache-ant-1.10.6,ANT-24,sysclasspath.html.txt,"Since Ant 1.7 the value of this property also affects the bootclasspath settings—it combines the bootclasspath that has been specified for a task with the bootclasspath of the JVM running Ant. If the property has not been set, it defaults to ignore in this case.",defaults to ignore,default build.sysclasspath = ignore,"build.sysclasspath, ignore",org/apache/tools/ant/taskdefs/Javadoc.java:2086,constant-argument,concrete-value,CDS
apache-ant-1.10.6,ANT-25,sysclasspath.html.txt,"The values and their meanings are:
value meaning
only Only the system classpath is used and classpaths specified in build files, etc are ignored. This situation could be considered as the person running the build file knows more about the environment than the person writing the build file.
ignore The system classpath is ignored. This situation is the reverse of the above. The person running the build trusts the build file writer to get the build file right. This mode is recommended for portable scripts.
last The classpath is concatenated to any specified classpaths at the end. This is a compromise, where the build file writer has priority.
first Any specified classpaths are concatenated to the system classpath. This is the other form of compromise where the build runner has priority.","only Only the system classpath is used and classpaths specified in build files, etc are ignored. This situation could be considered as the person running the build file knows more about the environment than the person writing the build file. ignore The system classpath is ignored. This situation is the reverse of the above. The person running the build trusts the build file writer to get the build file right. This mode is recommended for portable scripts. last The classpath is concatenated to any specified classpaths at the end. This is a compromise, where the build file writer has priority. first Any specified classpaths are concatenated to the system classpath. This is the other form of compromise where the build runner has priority.","options for build.sysclasspath are only, ignore, last, first","build.sysclasspath, only, ignore, last",org/apache/tools/ant/types/Path.java:565-587,if-chain,categorical-value,CDS
apache-ant-1.10.6,ANT-26,Types/dirset.html.txt,"erroronmissingdir | Specify what happens if the base directory does not exist. If true a build error will happen, if false, the dirset will be ignored/empty. Since Apache Ant 1.7.1 | No; defaults to true (for backward compatibility reasons)",If true,if dirset.erroronmissingdir = true,"dirset.erroronmissingdir, true",org/apache/tools/ant/types/AbstractFileSet.java:511,boolean-property,dual-value-comparison,CDS
apache-ant-1.10.6,ANT-27,Types/dirset.html.txt,"erroronmissingdir | Specify what happens if the base directory does not exist. If true a build error will happen, if false, the dirset will be ignored/empty. Since Apache Ant 1.7.1 | No; defaults to true (for backward compatibility reasons)",defaults to true,default dirset.erroronmissingdir = true,"dirset.erroronmissingdir, true",org/apache/tools/ant/types/AbstractFileSet.java:80,assign-constant,concrete-value,CDS
apache-ant-1.10.6,ANT-3,properties.html.txt,"Since Ant 1.8.0, you may instead use property expansion; a value of true (or on or yes) will enable the item, while false (or off or no) will disable it. Other values are still assumed to be property names and so the item is enabled only if the named property is defined.",true (or on or yes),"Property.value options are: yes, true, on","property, true, on, yes","src/main/org/apache/tools/ant/Project.java:1722,1723,1724",equals-or-chain,categorical-value,CDS
apache-ant-1.10.6,ANT-4,properties.html.txt,"Since Ant 1.8.0, you may instead use property expansion; a value of true (or on or yes) will enable the item, while false (or off or no) will disable it. Other values are still assumed to be property names and so the item is enabled only if the named property is defined.",false (or off or no),"Property.value options are: no, false, off","property, false, off, no","src/main/org/apache/tools/ant/PropertyHelper.java:1152,1153,1154",equals-or-chain,categorical-value,CDS
apache-ant-1.10.6,ANT-5,using.html.txt,"A project can have a set of tokens that might be automatically expanded if found when a file is copied, when the filtering-copy behavior is selected in the tasks that support this. These might be set in the buildfile by the filter task.",the filtering-copy behavior is selected,checks filter copy enabled,"filtering-copy behavior, selected",src/main/org/apache/tools/ant/taskdefs/Copy.java:875,boolean-property,dual-value-comparison,CDS
apache-ant-1.10.6,ANT-6,using.html.txt,"A project has three attributes:
...
default | the default target to use when no target is supplied.",no target is supplied.,if target is not present,"target, supplied",org/apache/tools/ant/Main.java:824,boolean-property,dual-value-comparison,CDS
apache-ant-1.10.6,ANT-7,using.html.txt,"By default a path-like structure will re-evaluate all nested resource collections whenever it is used, which may lead to unnecessary re-scanning of the filesystem. Since Ant 1.8.0, path has an optional cache attribute, if it is set to true, the path instance will only scan its nested resource collections once and assume it doesn't change during the build anymore (the default for cache still is false). Even if you are using the path only in a single task it may improve overall performance to set cache to true if you are using complex nested constructs.","cache attribute, if it is set to true,",Path.cache = true,"cache, true",org/apache/tools/ant/types/resources/BaseResourceCollectionContainer.java:256,boolean-property,dual-value-comparison,CDS
apache-ant-1.10.6,ANT-8,using.html.txt,"By default a path-like structure will re-evaluate all nested resource collections whenever it is used, which may lead to unnecessary re-scanning of the filesystem. Since Ant 1.8.0, path has an optional cache attribute, if it is set to true, the path instance will only scan its nested resource collections once and assume it doesn't change during the build anymore (the default for cache still is false). Even if you are using the path only in a single task it may improve overall performance to set cache to true if you are using complex nested constructs.",default for cache still is false),default Path.cache = false,"cache, false",org/apache/tools/ant/types/Path.java:150,assign-constant,concrete-value,CDS
apache-ant-1.10.6,ANT-9,running.html.txt,"When no arguments are specified, Ant looks for a build.xml file in the current directory and, if found, uses that file as the build file and runs the target specified in the default attribute of the <project> tag. To make Ant use a build file other than build.xml, use the command-line option -buildfile file, where file is the name of the build file you want to use (or a directory containing a build.xml file).","if found,",if build.xml found,"build.xml, found",org/apache/tools/ant/Main.java:470,boolean-property,dual-value-comparison,CDS
checkstyle-8.35,CHK-1,config_coding_txt.html.json,"ntinue
statement.


The check honors special comments to suppress the warning.
By default the texts
""fallthru"", ""fall thru"", ""fall-thru"",
""fallthrough"", ""fall through"", ""fall-through""
""fallsthrough"", ""falls through"", ""falls-through"" (case sensitive).
The comment containing these words must be all on one line,
and must be on the last non-empty line","""fallthru"", ""fall thru"", ""fall-thru"",
""fallthrough"", ""fall through"", ""fall-through""
""fallsthrough"", ""falls through"", ""falls-through"" (case sensitive).","Options for comment text are ""fallthru"", ""fall thru"", ""fall-thru"", ""fallthrough"", ""fall through"", ""fall-through"", ""fallsthrough"", ""falls through"", ""falls-through""","comment text, fallthru, fall thru, fall-thru, fallthrough, fall through, fall-through, fallsthrough, falls through, falls-through",com/puppycrawl/tools/checkstyle/checks/coding/FallThroughCheck.java:464,boolean-property,categorical-value,VDS
checkstyle-8.35,CHK-10,config_filters_txt.html.json,"document in a file. If there is no configured
suppressions file or the optional is set to true and
suppressions file was not found the Filter accepts all audit events.


Properties

name
description
type
default value
since

file",suppressions file was not found,Checks that the suppressions file was found,"suppressions file, not found",com/puppycrawl/tools/checkstyle/filters/SuppressionFilter.java:266,boolean-property,dual-value-comparison,VDS
checkstyle-8.35,CHK-11,config_filters_txt.html.json,". If
optional is set to false the file must exist, or else
it ends with error. On the other hand if optional is
true and file is not found, the filter accept all
audit events.

boolean
false
6.15

Notes

A suppressio","optional is
true",Checks that optional is set to true,"optional, true",com/puppycrawl/tools/checkstyle/filters/SuppressionFilter.java:265,boolean-property,dual-value-comparison,VDS
checkstyle-8.35,CHK-12,config_annotation_txt.html.json,"ated on separate line from target
element. This check also verifies that the annotations are on the same indenting level as
the annotated element if they are not on the same line.


Attention: Elements that cannot have JavaDoc comments like loca","same indenting level as
the annotated element",Check that the annotation is on the same indenting level as the annotated element,"annotation, in same indenting level",com/puppycrawl/tools/checkstyle/checks/annotation/AnnotationLocationCheck.java:360,binary-comparison,dual-value-comparison,VDS
checkstyle-8.35,CHK-13,config_blocks_txt.html.json,"tchBlock

Since Checkstyle 6.4

Description

Checks for empty catch blocks.
By default check allows empty catch block with any comment inside.


Notes

There are two options to make validation more precise: exceptionVariableName and
commentF",empty catch block with any comment inside.,Checks that the catch block has a comment inside,"empty catch block, has any comment inside",com/puppycrawl/tools/checkstyle/checks/blocks/EmptyCatchBlockCheck.java:314,binary-comparison,dual-value-comparison,VDS
checkstyle-8.35,CHK-14,config_imports_txt.html.json,"the current file/subpackage
then the Check returns the first ""allowed"" or ""disallowed"" message.
If there is no matching allow/disallow rule inside the current file/subpackage
then it continues checking in the parent subpackage.
If there is",there is no matching allow/disallow rule,Checks that there is no matching allow/disallow rule in the current file,"matching allow/disallow rule, no",com/puppycrawl/tools/checkstyle/checks/imports/AbstractImportControl.java:108,binary-comparison,dual-value-comparison,VDS
checkstyle-8.35,CHK-15,config_imports_txt.html.json,"perties for match will be used.

String[]
sun
3.0

illegalClasses
Specify class names to reject, if regexp property is not set, checks if
import equals class name. If regexp property is set, then list of class names
will be in","regexp property is not set,",Checks that regexp property is not set,"regexp, not set",com/puppycrawl/tools/checkstyle/checks/imports/IllegalImportCheck.java:457,boolean-property,dual-value-comparison,VDS
checkstyle-8.35,CHK-16,config_coding_txt.html.json,"ase sensitive).
The comment containing these words must be all on one line,
and must be on the last non-empty line before the
case triggering the warning or on
the same line before the case
(ugly, but possible).",non-empty line,Checks that the line is not empty.,"line, non-empty",com/puppycrawl/tools/checkstyle/checks/coding/FallThroughCheck.java:442,boolean-property,dual-value-comparison,VDS
checkstyle-8.35,CHK-17,anttask_txt.html.json,"nerate. The valid values are:

plain - specifies the 
DefaultLogger

xml - specifies the XMLLogger

Defaults to ""plain"".

No

toFile

The file to write output to. Defaults to standard output. Note,
there is no way to exp","Defaults to ""plain"".",Sets default value of type to plain,"type, plain",com/puppycrawl/tools/checkstyle/ant/CheckstyleAntTask.java:673,null-check,concrete-value,VDS
checkstyle-8.35,CHK-18,config_annotation_txt.html.json,"nnotations
Allow annotation(s) to be located on the same line as target element.
boolean
false
6.0

allowSamelineSingleParameterlessAnnotation
Allow single parameterless annotation to be located on the same line as
target element.
boolean
true
6.1

allowSamelineParameterizedAnnotation
Allow one and only parameterized annotation to be located","allowSamelineSingleParameterlessAnnotation
Allow single parameterless annotation to be located on the same line as
target element.
boolean
true",Sets default value of allowSamelineSingleParameterlessAnnotation to true,"allowSamelineSingleParameterlessAnnotation, true",com/puppycrawl/tools/checkstyle/checks/annotation/AnnotationLocationCheck.java:239,assign-constant,concrete-value,VDS
checkstyle-8.35,CHK-19,config_coding_txt.html.json,".lang.Throwable

4.0

ignoredMethodNames
Specify names of methods to ignore.
String[]
finalize
5.4

ignoreOverriddenMethods

allow to ignore checking overridden methods (marked with Override
or java.lang.Override annotation).

boolean
true
6.4

Examples

To configure the check:


<module name=""IllegalThrows""/>


To configure the check re","ignoreOverriddenMethods

allow to ignore checking overridden methods (marked with Override
or java.lang.Override annotation).

boolean
true",Sets default value of ignoreOverriddenMethods to true,"ignoreOverriddenMethods, true",com/puppycrawl/tools/checkstyle/checks/coding/IllegalThrowsCheck.java:127,assign-constant,concrete-value,VDS
checkstyle-8.35,CHK-2,config_blocks_txt.html.json,"eets variable name matching specified value - empty block is suppressed.

Pattern
""^$"" (empty)
6.4

commentFormat

Specify the RegExp for the first comment inside empty catch block.
If check meets comment inside empty catch block matching specified format - empty
block is suppressed. If it is multi-line comment - only its first line is analyzed.

Pattern
"".*""
6.4

Examples

To configure the check to suppress empty catch block if exception's variable name is","commentFormat

Specify the RegExp for the first comment inside empty catch block.
If check meets comment inside empty catch block matching specified format - empty
block is suppressed. If it is multi-line comment - only its first line is analyzed.

Pattern
"".*""",Checks that the comment is a multi-line comment,"comment, is multi-line",com/puppycrawl/tools/checkstyle/checks/blocks/EmptyCatchBlockCheck.java:273,binary-comparison,dual-value-comparison,VDS
checkstyle-8.35,CHK-3,anttask_txt.html.json,"file.

No

failOnViolation

Specifies whether the build will continue even if there are
violations. Defaults to ""true"".

No

failureProperty
The name of a property to set in the event of a violation.
No

maxErrors

The","Defaults to ""true"".",Sets default value of failOnViolation to true,"failOnViolation, true",com/puppycrawl/tools/checkstyle/ant/CheckStyleAntTask.java:98,assign-constant,concrete-value,VDS
checkstyle-8.35,CHK-4,config_annotation_txt.html.json,"heck also verifies that the annotations are on the same indenting level as
the annotated element if they are not on the same line.


Attention: Elements that cannot have JavaDoc comments like local variables are not in the
scope",they are not on the same line.,Checks that the annotation and the annotated element are not on the same line,"annotation and annotated element, are not on same line",com/puppycrawl/tools/checkstyle/checks/annotation/AnnotationLocationCheck.java:444,binary-comparison,dual-value-comparison,VDS
checkstyle-8.35,CHK-5,config_filters_txt.html.json,"property
severity. If acceptOnMatch
is false, then the filter
accepts an audit event if and only if there is not a match
between the event's severity level and property severity.

boolean
true
3.2

Examples

For example, the following configuration fragment directs the
Checker","there is not a match
between the event's severity level and property severity.",Checks that the annotation and the event severity and property severity are not the same,"event's severity level, property severity",com/puppycrawl/tools/checkstyle/filters/SeverityMatchFilter.java:113,binary-comparison,value-comparison,VDS
checkstyle-8.35,CHK-6,anttask_txt.html.json,"No

failureProperty
The name of a property to set in the event of a violation.
No

maxErrors

The maximum number of errors that are tolerated before
breaking the build or setting the failure property. Defaults
to ""0"".

No",maximum number of errors,Checks that the number of errors is less than maxErrors,"number of errors, maxErrors",com/puppycrawl/tools/checkstyle/ant/CheckstyleAntTask.java:374,binary-comparison,value-comparison,VDS
checkstyle-8.35,CHK-7,config_blocks_txt.html.json,"There are two options to make validation more precise: exceptionVariableName and
commentFormat.
If both options are specified - they are applied by any of them is matching.


Properties

name
description
type
default value
si",both options are specified,Checks that both options (exceptionVariableName and commentFormat) are specified,"both options, specified",com/puppycrawl/tools/checkstyle/checks/blocks/EmptyCatchBlockCheck.java:300,binary-comparison,dual-value-comparison,VDS
checkstyle-8.35,CHK-8,config_imports_txt.html.json,"groups of import declarations appear in the order specified
by the user. If there is an import but its group is not specified in the
configuration such an import should be placed at the end of the import list.


Rule Description

The rule consist","its group is not specified in the
configuration",Check that the import’s group is not specified in the configuration,"import group, not specified",com/puppycrawl/tools/checkstyle/checks/imports/CustomImportOrderCheck.java:618,boolean-property,dual-value-comparison,VDS
checkstyle-8.35,CHK-9,config_annotation_txt.html.json,"Parent Module

TreeWalker 

PackageAnnotation

Since Checkstyle 5.0

Description

Checks that all package annotations are in the package-info.java file.


For Java SE8 and above, placement of package annotations in the package-info.java
file is enforc",package annotations are in the package-info.java file.,Checks that the annotation is in the package-info.java file,"package annotation, is in package-info.java",com/puppycrawl/tools/checkstyle/checks/annotation/PackageAnnotationCheck.java:112,boolean-property,dual-value-comparison,VDS
guava-28.0,GUA-1,UsingAndAvoidingNullExplained.md.txt,"Each of these are static methods on Optional.
...
Optional.of(T) | Make an Optional containing the given non-null value, or fail fast on null.","the given non-null value,",Checks that the argument is non-null,value. is non-null,guava/src/com/google/common/base/Preconditions.java:877,null-check,dual-value-comparison,CDS
guava-28.0,GUA-2,PreconditionsExplained.md.txt,checkArgument(boolean) | Checks that the boolean is true. Use for validating arguments to methods.,the `boolean` is `true`.,Checks that the argument is true,"boolean, true",guava/src/com/google/common/base/Preconditions.java:127,boolean-property,dual-value-comparison,CDS
guava-28.0,GUA-3,PreconditionsExplained.md.txt,"checkNotNull(T) | Checks that the value is not null. Returns the value directly, so you can use checkNotNull(value) inline.",the value is not null.,Checks that the argument is non-null,"value, null",guava/src/com/google/common/base/Preconditions.java:877,null-check,dual-value-comparison,CDS
guava-28.0,GUA-4,PreconditionsExplained.md.txt,"checkElementIndex(int index, int size) | Checks that index is a valid element index into a list, string, or array with the specified size. An element index may range from 0 inclusive to size exclusive. You don't pass the list, string, or array directly; you just pass its size.
Returns index.",to `size` **exclusive**.,Checks that index < size,"index, size",guava/src/com/google/common/base/Preconditions.java:1342,binary-comparison,value-comparison,CDS
guava-28.0,GUA-5,PreconditionsExplained.md.txt,"checkPositionIndex(int index, int size) | Checks that index is a valid position index into a list, string, or array with the specified size. A position index may range from 0 inclusive to size inclusive. You don't pass the list, string, or array directly; you just pass its size.
Returns index.",to `size` **inclusive**.,Checks that index <= size,"position, size",guava/src/com/google/common/base/Preconditions.java:1387,binary-comparison,value-comparison,CDS
guava-28.0,GUA-6,CollectionUtilitiesExplained.md.txt,"getFirst(Iterable, T default) | Returns the first element of the iterable, or the default value if empty.",if empty.,Checks that the iterable is empty,"Iterable, empty",guava/src/com/google/common/collect/Iterators.java:845,boolean-property,dual-value-comparison,CDS
guava-28.0,GUA-7,CollectionUtilitiesExplained.md.txt,getOnlyElement(Iterable) | Returns the only element in Iterable. Fails fast if the iterable is empty or has multiple elements.,has multiple elements.,Checks that iterable has multiple elements,"Iterable multiple elements, has",guava/src/com/google/common/collect/Iterators.java:302,boolean-property,dual-value-comparison,CDS
guava-28.0,GUA-8,CollectionUtilitiesExplained.md.txt,"containsOccurrences(Multiset sup, Multiset sub) | Returns true if sub.count(o) <= super.count(o) for all o.",sub.count(o) <= super.count(o)`,Checks that sub.count(o) <= super.count(o),"sub count, super count",guava/src/com/google/common/collect/Multisets.java:686,binary-comparison,value-comparison,CDS
apache-httpcomponents-4.5.9,HCO-1,httpcore-tutorial.txt,All HTTP messages must include the protocol version,HTTP messages must include the protocol version.,Checks that Message.protocolVersion is not null/empty,"HTTP messages protocol version, contain",httpcomponents-client-4.5.9/httpclient/src/main/java/org/apache/http/impl/conn/DefaultHttpResponseParser.java:144,boolean-property,dual-value-comparison,CDS
apache-httpcomponents-4.5.9,HCO-10,httpcore-tutorial.txt,"The peer can indicate whether it intends to re-use the connection
on the opposite side by sending Keep-Alive or Close values in the Connection header.",sending Keep-Alive,if Keep-Alive is present,"Keep-Alive, sending",org/apache/http/message/BasicListHeaderIterator.java:132,binary-comparison,dual-value-comparison,CDS
apache-httpcomponents-4.5.9,HCO-11,httpcore-tutorial.txt,"By default the pool allows only 20 concurrent connections in total and two concurrent connections
per a unique route.",the pool allows only 20 concurrent connections,concurrentConnections = 20,"pool concurrent connections, 20",org/apache/http/impl/pool/BasicConnPool.java:58,constant-argument,concrete-value,CDS
apache-httpcomponents-4.5.9,HCO-12,httpcore-tutorial.txt,"Upon receiving an incoming request the HttpAsyncService verifies the message for compliance
with the server expectations using
HttpAsyncExpectationVerifier , if provided, and
then
HttpAsyncRequestHandlerResolver is used to resolve the request URI to a particular
HttpAsyncRequestHandler intended to handle the request with the given URI.","HttpAsyncExpectationVerifier, if provided,",HttpAsyncExpectationVerifier is present,"HttpAsyncExpectationVerifier, provided",org/apache/http/nio/protocol/HttpAsyncService.java:355,null-check,dual-value-comparison,CDS
apache-httpcomponents-4.5.9,HCO-13,Hypertext Transfer Protocol -- HTTP_1.0.html.txt,Servers should return the status code 501 (not implemented) if the method is unrecognized or not implemented.,the method is unrecognized,if method is unrecognized,"method, unrecognized",org/apache/http/protocol/HttpService.java:436,null-check,dual-value-comparison,CDS
apache-httpcomponents-4.5.9,HCO-14,Hypertext Transfer Protocol -- HTTP_1.0.html.txt,"All responses to the HEAD request method must not include a body, even though the presence of entity header fields may lead one to believe they do.","responses to the HEAD request method must not include a body,",HEAD request.body is not present,"responses HEAD method body, not include",org/apache/http/protocol/HttpService.java:373,binary-comparison,dual-value-comparison,CDS
apache-httpcomponents-4.5.9,HCO-15,Hypertext Transfer Protocol -- HTTP_1.0.html.txt,"For response messages, whether or not an entity body is included with a message
is dependent on both the request method and the response code. All responses to
the HEAD request method must not include a body, even though the presence of
entity header fields may lead one to believe they do. All 1xx (informational),
204 (no content), and 304 (not modified) responses must not include a body. All
other responses must include an entity body or a Content-Length header field
defined with a value of zero (0).",other responses must include an entity body,response is not of the 1xx kind,"responses, other",org/apache/http/protocol/HttpService.java:377,binary-comparison,dual-value-comparison,CDS
apache-httpcomponents-4.5.9,HCO-16,Hypertext Transfer Protocol -- HTTP_1.0.html.txt,"If the media type remains unknown, the recipient should treat it as type ""application/octet-stream"".","the media type remains unknown,",if media type unknown,"media type,unknown",org/apache/http/impl/client/cache/RequestProtocolCompliance.java:199,null-check,dual-value-comparison,CDS
apache-httpcomponents-4.5.9,HCO-17,Hypertext Transfer Protocol -- HTTP_1.0.html.txt,"If a Content-Length header field is present, its value in bytes represents the length of the Entity-Body","a Content-Length header field is present,",if Content-Length is persent,"Content-Length header field, present",org/apache/http/impl/entity/StrictContentLengthStrategy.java:103,null-check,dual-value-comparison,CDS
apache-httpcomponents-4.5.9,HCO-18,Hypertext Transfer Protocol -- HTTP_1.0.html.txt,"The semantics of the GET method changes to a ""conditional GET"" if the request message includes an If-Modified-Since header field.",the request message includes an If-Modified-Since header field.,request.If-Modified-Since is present,"request message If-Modified-Since header field, includes",org/apache/http/impl/client/cache/CachingExec.java:430,boolean-property,dual-value-comparison,CDS
apache-httpcomponents-4.5.9,HCO-19,Hypertext Transfer Protocol -- HTTP_1.0.html.txt,Any Content-Length greater than or equal to zero is a valid value.,Content-Length greater than or equal to zero,Content-Length >= 0,"Content-Length, 0",org/apache/http/impl/entity/StrictContentLengthStrategy.java:107,binary-comparison,value-comparison,CDS
apache-httpcomponents-4.5.9,HCO-2,httpcore-tutorial.txt,"If the Content-Type header is available, a Header object will be returned","the Content-Type header is available,",Checks that Header.Content-Type is not null/empty,"Content-Type header, available",httpcomponents-core-4.4.11/httpcore/src/main/java/org/apache/http/impl/BHttpConnectionBase.java:237,null-check,dual-value-comparison,CDS
apache-httpcomponents-4.5.9,HCO-20,Hypertext Transfer Protocol -- HTTP_1.0.html.txt,"All 1xx (informational), 204 (no content), and 304 (not modified) responses must not include a body.",304,Status code = 304,"304, response",org/apache/http/protocol/HttpService.java:379,binary-comparison,value-comparison,CDS
apache-httpcomponents-4.5.9,HCO-3,httpcore-tutorial.txt,"This makes it possible to make a repeatable entity, from a non-repeatable entity. If the supplied entity
is already repeatable, it simply passes calls through to the underlying entity.","the supplied entity is already repeatable,",Checks that the supplied entity is repeatable,"entity, repeatable",httpcomponents-core-4.4.11/httpcore/src/main/java/org/apache/http/entity/BufferedHttpEntity.java:60,boolean-property,dual-value-comparison,CDS
apache-httpcomponents-4.5.9,HCO-4,Hypertext Transfer Protocol -- HTTP_1.0.html.txt,The default port is TCP 80,The default port is TCP 80[,Sets/Enforces default port to 80,"port, 80",httpcomponents-client-4.5.9/httpclient/src/main/java/org/apache/http/impl/conn/DefaultSchemePortResolver.java:55,return-constant,concrete-value,CDS
apache-httpcomponents-4.5.9,HCO-5,Hypertext Transfer Protocol -- HTTP_1.0.html.txt,Recipients of header field TEXT containing octets outside the US-ASCII character set may assume that they represent ISO-8859-1 characters,header field TEXT containing octets outside the US-ASCII character set,Checks if character is outside US-ASCII,"header field TEXT, US-ASCII character set",httpcomponents-client-4.5.9/httpclient-cache/src/main/java/org/apache/http/impl/client/cache/WarningValue.java:123,binary-comparison,categorical-value,CDS
apache-httpcomponents-4.5.9,HCO-6,Hypertext Transfer Protocol -- HTTP_1.0.html.txt,"If the port is empty or not given, port 80 is assumed",port 80 is assumed.,Sets/Enforces default port to 80,"port, 80",httpcomponents-client-4.5.9/httpclient/src/main/java/org/apache/http/conn/routing/HttpRoute.java:93,return-constant,concrete-value,CDS
